method,backbone,pipeline,candidate_id,source_job_dir,repeat_id,seed,best_epoch,epochs_ran,test_n,num_classes,global_majority_class,global_majority_class_count,global_node_count,majority_class_test_count,majority_baseline_accuracy_pct,test_accuracy_pct,predicted_majority_count,predicted_majority_share_pct,dominant_predicted_class,dominant_predicted_count,dominant_predicted_share_pct,dominant_matches_global_majority,mean_max_probability_pct,correct_predictions,elapsed_sec
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,3,12348,117,267,1900,5,4,1965,7600,537,28.263157894736842,28.736842105263158,1660,87.36842105263158,4,1660,87.36842105263158,1,22.746291756629944,546,5.095872402191162
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,10,12355,18,168,1900,5,4,1965,7600,442,23.263157894736842,23.473684210526315,1550,81.57894736842105,4,1550,81.57894736842105,1,28.40595245361328,446,2.2043681144714355
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,17,12362,105,255,1900,5,4,1965,7600,480,25.263157894736842,25.36842105263158,1880,98.94736842105263,4,1880,98.94736842105263,1,24.904899299144745,482,3.1688392162323
LPGNN,gcn,figure3_pipeline1,240,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gcn/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gcn/use_nfr=false,24,12369,4,154,1900,5,4,1965,7600,467,24.57894736842105,24.789473684210527,1527,80.36842105263158,4,1527,80.36842105263158,1,27.961617708206177,471,2.177300214767456
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,1,12346,121,271,1900,5,4,1965,7600,497,26.157894736842106,27.894736842105264,1486,78.21052631578948,4,1486,78.21052631578948,1,26.503822207450867,530,2.86869215965271
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,8,12353,80,230,1900,5,4,1965,7600,487,25.63157894736842,24.842105263157894,1524,80.21052631578948,4,1524,80.21052631578948,1,26.002532243728638,472,1.820129632949829
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,15,12360,179,329,1900,5,4,1965,7600,466,24.526315789473685,24.105263157894736,1675,88.15789473684211,4,1675,88.15789473684211,1,27.5189071893692,458,2.5757858753204346
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,22,12367,4,154,1900,5,4,1965,7600,534,28.105263157894736,25.57894736842105,1036,54.526315789473685,4,1036,54.526315789473685,1,41.27809405326843,486,1.4755408763885498
LPGNN,sage,figure3_pipeline1,178,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/sage/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=sage/use_nfr=false,29,12374,409,500,1900,5,4,1965,7600,509,26.789473684210527,26.473684210526315,1792,94.3157894736842,4,1792,94.3157894736842,1,26.480114459991455,503,4.909135341644287
LPGNN,gat,figure3_pipeline1,168,/data/hzw/Rethinking_DP_GNN_runtime/rebuttal_experiments/figure1_heter/actor/gat/figure3_pipeline1.yaml/dataset=actor/feature=raw/mechanism=mbm/x_eps=10/m=best/norm=false/smoother=kprop/backbone=gat/use_nfr=false,6,12351,414,500,1900,5,4,1965,7600,490,25.789473684210527,25.789473684210527,1773,93.3157894736842,4,1773,93.3157894736842,1,27.65999436378479,490,10.249250650405884
